Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000A000000S100,2016.06,1300726,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG07ALE00000A000000S100,2016.09,1335862,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG07ALE00000A000000S100,2016.12,1349889,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG07ALE00000A000000S100,2017.03,1363391,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG07ALE00000A000000S100,2017.06,1398554,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG07ALE00000A000000S100,2017.09,1416354,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG07ALE00000A000000S100,2017.12,1445490,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG07ALE00000A000000S100,2018.03,1462425,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG07ALE00000A000000S100,2018.06,1481034,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG07ALE00000A000000S100,2018.09,1503456,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG07ALE00000A000000S100,2018.12,1539489,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG07ALE00000A000000S100,2019.03,1560599,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG07ALE00000A000000S100,2019.06,1566282,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG07ALE00000A000000S100,2019.09,1583053,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG07ALE00000A000000S100,2019.12,1608356,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG07ALE00000A000000S100,2020.03,1609435,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG07ALE00000A000000S100,2020.06,1618998,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG07ALE00000A000000S100,2020.09,1645386,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG07ALE00000A000000S100,2020.12,1688010,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG07ALE00000A000000S100,2021.03,1723413,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,3
